file,broker,company,rating,broker_clean
-2147481042.pdf,ICICI Securities,ICICI Securities Limited,REDUCE,ICICI Securities
-2147481044.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481046.pdf,Systematix Research,Arvind Ltd,UNKNOWN,Systematix Research
-2147481047.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481048.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481054.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481058.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481055.pdf,YES Securities,Hyundai Motor Corp,BUY,YES Securities
-2147481059.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
-2147481060.pdf,YES Securities,Jyothy Labs Ltd,BUY,YES Securities
-2147481065.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
-2147481062.pdf,Equities Research,Data Patterns India Ltd,BUY,Equities Research
-2147481061.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481067.pdf,Dolat Capital,UNKNOWN,NEUTRAL,Dolat Capital
-2147481075.pdf,YES Securities,Godawari Power & Ispat Ltd,BUY,YES Securities
-2147481076.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481072.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481077.pdf,YES Securities,UNKNOWN,BUY,YES Securities
-2147481084.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481078.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481085.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481089.pdf,Systematix Research,Dixon Technologies,HOLD,Systematix Research
-2147481088.pdf,Equities Research,UNKNOWN,HOLD,Equities Research
-2147481092.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481093.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481094.pdf,BFSI Research,Asian Paints Ltd,UNKNOWN,BFSI Research
-2147481099.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481098.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481108.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481112.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481111.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481117.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481115.pdf,YES Securities,UNKNOWN,BUY,YES Securities
-2147481113.pdf,YES Securities,UNKNOWN,BUY,YES Securities
-2147481120.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481123.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481122.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481121.pdf,IDBI Capital,Cyient Ltd,BUY,IDBI Capital
-2147481127.pdf,HSIE Research,Federal Bank,UNKNOWN,HSIE Research
-2147481128.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481132.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481136.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481139.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481140.pdf,Systematix Research,HCL Technologies,BUY,Systematix Research
-2147481137.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481138.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481142.pdf,YES Securities,PSU Bank,UNKNOWN,YES Securities
-2147481143.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481145.pdf,Axis Securities,UNKNOWN,UNKNOWN,Axis Securities
-2147481144.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481148.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481149.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481155.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481152.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481157.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481161.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481158.pdf,Axis Securities,Automotive Axles Ltd,UNKNOWN,Axis Securities
-2147481156.pdf,Axis Securities,UNKNOWN,ADD,Axis Securities
-2147481160.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481159.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481166.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481168.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481164.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
-2147481163.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481167.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481172.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481177.pdf,Director Research,HCL Technologies,REDUCE,Director Research
-2147481178.pdf,Systematix Research,Inox Wind Limited,BUY,Systematix Research
-2147481180.pdf,HSIE Research,HCL Technologies,ADD,HSIE Research
-2147481181.pdf,IDBI Capital,HCL Technologies,HOLD,IDBI Capital
-2147481184.pdf,Axis Securities,UNKNOWN,UNKNOWN,Axis Securities
-2147481182.pdf,Systematix Research,HCL Technologies,HOLD,Systematix Research
-2147481183.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481186.pdf,India Equity Institutional Research,UNKNOWN,UNKNOWN,India Equity Institutional Research
-2147481187.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481190.pdf,YES Securities,Share of Bank,ADD,YES Securities
-2147481193.pdf,Systematix Research,Allied Blenders and Distillers Ltd,BUY,Systematix Research
-2147481194.pdf,Institutional Research,HDFC Asset Management Company Ltd,BUY,Institutional Research
-2147481196.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481204.pdf,BFSI Research,UNKNOWN,UNKNOWN,BFSI Research
-2147481203.pdf,Institutional Research,HDFC Life Insurance Company Ltd,BUY,Institutional Research
-2147481198.pdf,YES Securities,HDFC Bank,ADD,YES Securities
-2147481201.pdf,Director Research,UNKNOWN,ACCUMULATE,Director Research
-2147481202.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481205.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481211.pdf,HSIE Research,Axis Bank,ADD,HSIE Research
-2147481210.pdf,YES Securities,CEAT Ltd,ADD,YES Securities
-2147481206.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481207.pdf,Systematix Research,Axis Bank,HOLD,Systematix Research
-2147481213.pdf,IDBI Capital,Axis Bank,BUY,IDBI Capital
-2147481214.pdf,Director Research,UNKNOWN,UNKNOWN,Director Research
-2147481215.pdf,YES Securities,Axis Bank Ltd,BUY,YES Securities
-2147481217.pdf,Director Research,Axis Bank,BUY,Director Research
-2147481220.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481218.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481224.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481228.pdf,Director Research,RBL Bank,ACCUMULATE,Director Research
-2147481226.pdf,Director Research,Kotak Mahindra Bank,BUY,Director Research
-2147481229.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481234.pdf,Systematix Research,Kotak Mahindra Bank,BUY,Systematix Research
-2147481231.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481232.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481233.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481235.pdf,Nirmal Bang Institutional Equities Research,Tech Mahindra Ltd,HOLD,Nirmal Bang Institutional Equities Research
-2147481240.pdf,YES Securities,Regular and Limited,BUY,YES Securities
-2147481239.pdf,HSIE Research,Kotak Mahindra Bank,BUY,HSIE Research
-2147481238.pdf,Nirmal Bang Institutional Equities Research,RBL Bank,SELL,Nirmal Bang Institutional Equities Research
-2147481245.pdf,HSIE Research,Dixon Technologies,ADD,HSIE Research
-2147481241.pdf,YES Securities,Kotak Mahindra Bank,BUY,YES Securities
-2147481252.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481250.pdf,India Equity Institutional Research,Jio Financial Services Ltd,UNKNOWN,India Equity Institutional Research
-2147481249.pdf,YES Securities,Karur Vysya Bank Ltd,BUY,YES Securities
-2147481247.pdf,IDBI Capital,Supreme Industries Ltd,BUY,IDBI Capital
-2147481255.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481253.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481260.pdf,Director Research,Nuvoco Vistas Corp,REDUCE,Director Research
-2147481261.pdf,Director Research,HDFC Bank,HOLD,Director Research
-2147481262.pdf,HDFC Securities,HDFC Bank,BUY,HDFC Securities
-2147481259.pdf,IDBI Capital,Zensar Technologies,BUY,IDBI Capital
-2147481263.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481267.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481268.pdf,IDBI Capital,HDFC Bank,BUY,IDBI Capital
-2147481269.pdf,Director Research,UNKNOWN,ACCUMULATE,Director Research
-2147481265.pdf,Systematix Research,HDFC Bank,BUY,Systematix Research
-2147481271.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481272.pdf,HSIE Research,Bharat Petroleum Corp,ADD,HSIE Research
-2147481276.pdf,Systematix Research,UNKNOWN,SELL,Systematix Research
-2147481274.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481277.pdf,Director Research,UNKNOWN,ACCUMULATE,Director Research
-2147481282.pdf,YES Securities,UNKNOWN,BUY,YES Securities
-2147481279.pdf,Systematix Research,UltraTech Cement Ltd,BUY,Systematix Research
-2147481280.pdf,YES Securities,Ujjivan Small Finance Bank,ADD,YES Securities
-2147481283.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481288.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481285.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481291.pdf,IDBI Capital,DCB Bank,BUY,IDBI Capital
-2147481290.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481292.pdf,Equities Research,Mphasis Ltd,HOLD,Equities Research
-2147481297.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481299.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481302.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481304.pdf,Systematix Research,Cipla Ltd,BUY,Systematix Research
-2147481305.pdf,IDBI Capital,Federal Bank,BUY,IDBI Capital
-2147481301.pdf,HSIE Research,Indian Oil Corp,BUY,HSIE Research
-2147481306.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481312.pdf,YES Securities,UNKNOWN,ADD,YES Securities
-2147481308.pdf,YES Securities,Besides leveraging the strong parentage of Hyundai Motor Corp,BUY,YES Securities
-2147481307.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481314.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481320.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481318.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481315.pdf,YES Securities,UNKNOWN,BUY,YES Securities
-2147481316.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481321.pdf,YES Securities,UNKNOWN,ADD,YES Securities
-2147481323.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
-2147481322.pdf,Director Research,UNKNOWN,ACCUMULATE,Director Research
-2147481326.pdf,Head of Research,UNKNOWN,BUY,Head of Research
-2147481327.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481331.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481330.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481329.pdf,YES Securities,Tata Consumer Products Ltd,BUY,YES Securities
-2147481332.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481333.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481337.pdf,Head of Research,UNKNOWN,HOLD,Head of Research
